micros	tikcs
6086524	-716
6087712	-717
6088904	-718
6090092	-719
6091284	-720
6092472	-721
6093664	-722
6094860	-723
6096044	-724
6097232	-724
6098424	-725
6099612	-726
6100804	-727
6101992	-728
6103184	-729
6104372	-730
6105564	-731
6106752	-732
6107944	-733
6109132	-733
6110324	-734
6111512	-735
6112704	-736
6113892	-737
6115084	-738
6116272	-739
6117464	-740
6118652	-741
6119844	-742
6121032	-742
6122224	-743
6123412	-744
6124604	-745
6125792	-746
6126984	-747
6128172	-748
6129364	-749
6130552	-750
6131744	-751
6132932	-751
6134124	-752
6135312	-753
6136504	-754
6137696	-755
6138888	-756
6140072	-757
6141264	-758
6142452	-759
6143644	-760
6144832	-760
6146024	-761
6147212	-762
6148404	-763
6149592	-764
6150784	-765
6151972	-766
6153164	-767
6154352	-768
6155544	-768
6156732	-769
6157924	-770
6159112	-771
6160304	-772
6161492	-773
6162684	-774
6163872	-775
6165064	-776
6166252	-777
6167444	-777
6168632	-778
6169824	-779
6171012	-780
6172204	-781
6173392	-782
6174584	-783
6175772	-784
6176964	-785
6178152	-785
6179344	-786
6180532	-787
6181724	-788
6182920	-789
6184104	-790
6185292	-791
6186484	-792
6187672	-793
6188864	-793
6190052	-794
6191244	-795
6192432	-796
6193624	-797
6194812	-798
6196004	-799
6197192	-800
6198384	-801
6199572	-801
6200764	-802
6201952	-803
6203144	-804
6204332	-805
6205524	-806
6206712	-807
6207904	-808
6209092	-809
6210284	-809
6211472	-810
6212664	-811
6213852	-812
6215044	-813
6216232	-814
6217424	-815
6218612	-816
6219804	-817
6220992	-817
6222184	-818
6223372	-819
6224564	-820
6225752	-821
6226948	-822
6228132	-823
6229324	-824
6230512	-825
6231704	-825
6232892	-826
6234084	-827
6235272	-828
6236464	-829
6237652	-830
6238844	-831
6240032	-832
6241224	-832
6242412	-833
6243604	-834
6244792	-835
6245984	-836
6247172	-837
6248364	-838
6249552	-839
6250744	-839
6251932	-840
6253124	-841
6254312	-842
6255504	-843
6256692	-844
6257884	-845
6259072	-845
6260264	-846
6261452	-847
6262644	-848
6263832	-849
6265024	-850
6266212	-851
6267404	-851
6268592	-852
6269784	-853
6270972	-854
6272164	-855
6273352	-856
6274544	-857
6275732	-857
6276924	-858
6278112	-859
6279304	-860
6280492	-861
6281684	-862
6282872	-862
6284064	-863
6285252	-864
6286444	-865
6287632	-866
6288824	-867
6290012	-868
6291204	-868
6292392	-869
6293584	-870
6294772	-871
6295964	-872
6297152	-873
6298344	-873
6299532	-874
6300724	-875
6301912	-876
6303104	-877
6304292	-878
6305484	-878
6306672	-879
6307864	-880
6309052	-881
6310244	-882
6311432	-883
6312624	-883
6313812	-884
6315004	-885
6316192	-886
6317384	-887
6318572	-888
6319764	-888
6320952	-889
6322144	-890
6323332	-891
6324524	-892
6325712	-893
6326904	-893
6328092	-894
6329284	-895
6330472	-896
6331664	-897
6332852	-898
6334044	-898
6335232	-899
6336424	-900
6337612	-901
6338804	-902
6339992	-902
6341184	-903
6342372	-904
6343564	-905
6344752	-906
6345944	-907
6347132	-907
6348324	-908
6349512	-909
6350704	-910
6351892	-911
6353084	-912
6354272	-912
6355464	-913
6356652	-914
6357844	-915
6359032	-916
6360224	-916
6361412	-917
6362604	-918
6363792	-919
6364984	-920
6366172	-921
6367364	-921
6368552	-922
6369744	-923
6370932	-924
6372124	-925
6373312	-926
6374504	-926
6375692	-927
6376884	-928
6378072	-929
6379264	-930
6380452	-930
6381644	-931
6382832	-932
6384024	-933
6385212	-934
6386404	-935
6387592	-935
6388784	-936
6389972	-937
6391164	-938
6392352	-939
6393544	-939
6394732	-940
6395924	-941
6397112	-942
6398304	-943
6399492	-944
6400684	-944
6401872	-945
6403064	-946
6404252	-947
6405444	-948
6406632	-948
6407824	-949
6409012	-950
6410204	-951
6411392	-952
6412584	-953
6413772	-953
6414964	-954
6416152	-955
6417344	-956
6418532	-957
6419724	-957
6420912	-958
6422104	-959
6423292	-960
6424484	-961
6425672	-962
6426864	-962
6428052	-963
6429244	-964
6430432	-965
6431624	-966
6432812	-966
6434004	-967
6435192	-968
6436384	-969
6437572	-970
6438764	-970
6439956	-971
6441144	-972
6442332	-973
